# HELP http_requests Total number of HTTP requests.
# TYPE http_requests counter
# UNIT http_requests requests
http_requests_total{method="GET",status="200"} 12034.0 1710000000.0 # {trace_id="t-001"} 1.0 1709999999.5
http_requests_total{method="GET",status="404"} 87.0 1710000000.0
http_requests_total{method="GET",status="500"} 12.0 1710000000.0
http_requests_total{method="POST",status="200"} 4521.0 1710000000.0 # {trace_id="t-002"} 1.0 1709999999.7
http_requests_total{method="POST",status="404"} 9.0 1710000000.0
http_requests_total{method="POST",status="500"} 31.0 1710000000.0
# HELP grpc_calls Total number of gRPC calls.
# TYPE grpc_calls counter
grpc_calls_total{service="catalog"} 19234.0 1710000000.0
grpc_calls_total{service="orders"} 8231.0 1710000000.0
grpc_calls_total{service="payments"} 5612.0 1710000000.0
# HELP db_queries Total number of database queries.
# TYPE db_queries counter
db_queries_total 482910.0 1710000000.0
# HELP cache_hits Total number of cache hits.
# TYPE cache_hits counter
cache_hits_total 921830.0 1710000000.0
# HELP cache_misses Total number of cache misses.
# TYPE cache_misses counter
cache_misses_total 32198.0 1710000000.0
# HELP errors Total number of errors by code.
# TYPE errors counter
errors_total{code="EINVAL"} 23.0 1710000000.0
errors_total{code="ETIMEDOUT"} 7.0 1710000000.0
errors_total{code="ECONNRESET"} 14.0 1710000000.0
errors_total{code="EIO"} 2.0 1710000000.0
# HELP network_received_bytes Total bytes received.
# TYPE network_received_bytes counter
# UNIT network_received_bytes bytes
network_received_bytes_total 9.83e+10 1710000000.0
# HELP network_sent_bytes Total bytes sent.
# TYPE network_sent_bytes counter
# UNIT network_sent_bytes bytes
network_sent_bytes_total 1.27e+11 1710000000.0
# HELP jobs_completed Total number of jobs completed.
# TYPE jobs_completed counter
jobs_completed_total 18234.0 1710000000.0
# HELP jobs_failed Total number of jobs failed.
# TYPE jobs_failed counter
jobs_failed_total 142.0 1710000000.0
# HELP signals_received Total number of signals received.
# TYPE signals_received counter
signals_received_total 8.0 1710000000.0
# HELP gc_invocations Total number of GC invocations.
# TYPE gc_invocations counter
gc_invocations_total 4821.0 1710000000.0
# HELP allocations Total allocations by pool.
# TYPE allocations counter
allocations_total{pool="small"} 9.31e+08 1710000000.0
allocations_total{pool="medium"} 1.42e+07 1710000000.0
allocations_total{pool="large"} 832.0 1710000000.0
# HELP mutex_contentions Total mutex contentions.
# TYPE mutex_contentions counter
mutex_contentions_total 6831.0 1710000000.0
# HELP scrape_samples Total samples scraped.
# TYPE scrape_samples counter
scrape_samples_total 8412.0 1710000000.0
# HELP memory_bytes Memory in use by area.
# TYPE memory_bytes gauge
# UNIT memory_bytes bytes
memory_bytes{area="heap"} 1.234e+09 1710000000.0
memory_bytes{area="stack"} 8.3e+06 1710000000.0
memory_bytes{area="static"} 2.1e+06 1710000000.0
# HELP goroutines Number of goroutines.
# TYPE goroutines gauge
goroutines 312.0 1710000000.0
# HELP threads Number of OS threads.
# TYPE threads gauge
threads 47.0 1710000000.0
# HELP file_descriptors Open file descriptors.
# TYPE file_descriptors gauge
file_descriptors 184.0 1710000000.0
# HELP queue_depth Items currently queued.
# TYPE queue_depth gauge
queue_depth{queue="ingest"} 14.0 1710000000.0
queue_depth{queue="export"} 3.0 1710000000.0
queue_depth{queue="retry"} 27.0 1710000000.0
# HELP active_connections Currently active connections.
# TYPE active_connections gauge
active_connections 412.0 1710000000.0
# HELP temperature_celsius Sensor temperature.
# TYPE temperature_celsius gauge
# UNIT temperature_celsius celsius
temperature_celsius{sensor="cpu0"} 62.4 1710000000.0
temperature_celsius{sensor="cpu1"} 64.1 1710000000.0
temperature_celsius{sensor="gpu"} 71.8 1710000000.0
# HELP request_duration_seconds Request duration histogram.
# TYPE request_duration_seconds histogram
# UNIT request_duration_seconds seconds
request_duration_seconds_bucket{handler="/api/query",le="0.005"} 120 1710000000.0
request_duration_seconds_bucket{handler="/api/query",le="0.01"} 560 1710000000.0
request_duration_seconds_bucket{handler="/api/query",le="0.025"} 2100 1710000000.0
